GEOID,NAME,total_pop,nonlatine,nlwhite,nlblack,nlasian,latine,lwhite,lblack,lasian,tpop_nat,nat_nat,nat_noncit,medhhinc,medrent,total_pctincrent,pctincrent35_to_39.9,pctincrent40_to_49.9,pctincrent50_ormore,total_ipop,hh_inet,total_hh_poverty,hh_under_0.5_poverty,hh_0.5_to_0.99_poverty,hh_1_to_1.24_poverty,hh_1.25_to_1.49_poverty,hh_1.5_to_1.84_poverty,total_hh,pct_nlblack,pct_nlwhite,pct_nlasian,pct_latine,pct_lblack,pct_lwhite,pct_lasian,pct_185pov,pct_incrent35,pct_inetaccess,"comcolor <- ifelse(pct_nlwhite < 0.4, 1, 0)",pct_nonnat,pct_noncit,geometry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51013101100,"Census Tract 1011, Arlington County, Virginia",5934,5678,4930,155,385,256,181,0,0,5934,560,95,187308,2989,590,45,0,31,2270,2224,5934,168,46,19,20,80,2309,0.026120661,0.830805527,0.064880351,0.04314122,0,0.030502191,0,0.048365352,0.128813559,0.979735683,0,0.110380856,0.016009437,list(list(c(-77.165093,-77.164473,-77.163058,-77.160754,-77.158981,-77.153245,-77.147392,-77.145855,-77.144889,-77.144274,-77.145159,-77.144161,-77.146097,-77.145482,-77.14713,-77.149701,-77.15395,-77.159213,-77.163517,-77.165947,-77.165093,38.889795,38.889878,38.889937,38.891575,38.88918,38.892098,38.893639,38.894145,38.890323,38.888433,38.886883,38.886536,38.882205,38.87722,38.873606,38.87567,38.878935,38.883035,38.886391,38.888287, 38.889795))),,
51013101200,"Census Tract 1012, Arlington County, Virginia",4037,3185,2662,104,249,852,580,0,0,4037,292,483,153500,1939,304,0,8,164,1216,1137,3852,30,283,194,0,209,1359,0.025761704,0.659400545,0.061679465,0.211047808,0,0.143671043,0,0.112409138,0.565789474,0.935032895,0,0.191974238,0.119643299,list(list(c(-77.14713,-77.145482,-77.146097,-77.144596,-77.139132,-77.139401,-77.137558,-77.133946,-77.131448,-77.127837,-77.126643,-77.123791,-77.128388,-77.137631,-77.145206,-77.146793,-77.14713,38.873606,38.87722,38.882205,38.881706,38.879875,38.879573,38.878552,38.87491,38.870749,38.867777,38.867873,38.866447,38.866362,38.866199,38.872108,38.873341, 38.873606))),,,,,,,,,,
51013101300,"Census Tract 1013, Arlington County, Virginia",7411,6155,5410,134,322,1256,699,23,0,7411,668,626,199113,3032,332,0,34,71,2394,2261,7411,81,80,11,15,174,2409,0.018081231,0.729995952,0.043448927,0.169477803,0.003103495,0.094319255,0,0.03791661,0.31626506,0.944444444,0,0.174605316,0.084469033,list(list(c(-77.139132,-77.136785,-77.132501,-77.127907,-77.126153,-77.125438,-77.124824,-77.123455,-77.121957,-77.120885,-77.113894,-77.11122,-77.112892,-77.113565,-77.113424,-77.111794,-77.111202,-77.112855,-77.113043,-77.116451,-77.119677,-77.123791,-77.126643,-77.127837,-77.131448,-77.133946,-77.137558,-77.139401,-77.139132,38.879875,38.879286,38.879232,38.879391,38.879762,38.880012,38.880274,38.881027,38.881577,38.878256,38.880105,38.878275,38.876849, ,
51013101401,"Census Tract 1014.01, Arlington County, Virginia",1454,1391,928,142,225,63,40,8,0,1454,155,138,115188,2098,586,21,54,114,797,743,1454,31,29,34,12,85,883,0.097661623,0.63823934,0.15474553,0.043328748,0.005502063,0.027510316,0,0.111416781,0.322525597,0.932245922,0,0.201513067,0.094910591,list(list(c(-77.123455,-77.120554,-77.11869,-77.117074,-77.116402,-77.11395,-77.11376,-77.115644,-77.113894,-77.120885,-77.121957,-77.123455,38.881027,38.882943,38.885362,38.885398,38.883624,38.883755,38.882227,38.882134,38.880105,38.878256,38.881577, 38.881027))),,,,,,,,,,,,,,,,,,,,
51013101402,"Census Tract 1014.02, Arlington County, Virginia",2362,2160,1571,60,437,202,202,0,0,2362,283,208,128796,2308,599,56,42,118,1410,1341,2355,125,55,63,0,41,1511,0.025402202,0.66511431,0.185012701,0.085520745,0,0.085520745,0,0.097239915,0.360601002,0.95106383,0,0.207874682,0.088060965,list(list(c(-77.117657,-77.115695,-77.114321,-77.111287,-77.108314,-77.108167,-77.108018,-77.109801,-77.109439,-77.110505,-77.111835,-77.112711,-77.11376,-77.11395,-77.116402,-77.117074,-77.11869,-77.117657,38.886477,38.887672,38.88808,38.888804,38.889532,38.886061,38.884599,38.884413,38.882481,38.882381,38.882252,38.88223,38.882227,38.883755,38.883624,38.885398,38.885362, 38.886477))),,,,,,,,
51013101403,"Census Tract 1014.03, Arlington County, Virginia",6002,5551,4223,269,932,451,270,61,0,6002,531,851,115721,2175,2953,142,210,303,3747,3478,5974,142,136,66,49,141,4150,0.044818394,0.7035988,0.155281573,0.075141619,0.010163279,0.044985005,0,0.066622029,0.221808331,0.928209234,0,0.230256581,0.141786071,list(list(c(-77.115644,-77.11376,-77.112711,-77.111835,-77.110505,-77.109439,-77.109801,-77.108018,-77.10761,-77.107838,-77.107869,-77.10954,-77.11122,-77.113894,-77.115644,38.882134,38.882227,38.88223,38.882252,38.882381,38.882481,38.884413,38.884599,38.880139,38.877827,38.877551,38.877355,38.878275,38.880105, 38.882134))),,,,,,,,,,,,,,
51013101404,"Census Tract 1014.04, Arlington County, Virginia",5212,4746,3446,179,863,466,447,0,0,5212,499,699,128491,2403,2288,102,231,126,3134,2920,5211,211,200,17,0,241,3407,0.034343822,0.661166539,0.165579432,0.089409056,0,0.085763622,0,0.090001919,0.200611888,0.931716656,0,0.229854183,0.134113584,list(list(c(-77.108167,-77.104623,-77.103349,-77.099657,-77.099153,-77.099723,-77.102706,-77.10606,-77.106807,-77.107838,-77.10761,-77.108018,-77.108167,38.886061,38.886099,38.883442,38.884816,38.883972,38.883424,38.881935,38.880145,38.877702,38.877827,38.880139,38.884599, 38.886061))),,,,,,,,,,,,,,,,,,
51013101500,"Census Tract 1015, Arlington County, Virginia",7829,7120,5690,370,714,709,646,0,0,7829,897,742,113668,1905,2414,180,144,399,3809,3588,7829,303,144,61,179,133,4102,0.047260186,0.72678503,0.091199387,0.090560736,0,0.082513731,0,0.086345638,0.2995029,0.941979522,0,0.209349853,0.094775833,list(list(c(-77.108314,-77.103664,-77.102235,-77.101282,-77.098833,-77.097679,-77.094283,-77.090556,-77.088635,-77.086846,-77.083907,-77.086501,-77.086288,-77.08614,-77.085816,-77.086145,-77.087348,-77.088653,-77.090686,-77.093355,-77.095004,-77.097152,-77.098915,-77.099153,-77.099657,-77.103349,-77.104623,-77.108167,-77.108314,38.889532,38.890677,38.891361,38.892229,38.896011,38.896746,38.897666,38.898114,38.898299,38.898118,38.896908,38.89587,38.894634, ,
51013101601,"Census Tract 1016.01, Arlington County, Virginia",1474,1318,1071,12,139,156,96,7,0,1474,103,162,151875,2072,365,16,11,46,655,648,1474,84,49,0,10,10,684,0.008141113,0.726594301,0.094301221,0.105834464,0.004748982,0.065128901,0,0.070556309,0.2,0.989312977,0,0.179782904,0.10990502,list(list(c(-77.093219,-77.089008,-77.085908,-77.08283921,-77.0822,-77.07929739,-77.07887802,-77.07835631,-77.0778365,-77.0706217,-77.070784,-77.073596,-77.077047,-77.080287,-77.082059,-77.084572,-77.086501,-77.083907,-77.086846,-77.088635,-77.090556,-77.094283,-77.093219,38.898544,38.899926,38.900052,38.90209477,38.901911,38.90162316,38.90158157,38.90152984,38.90147829,38.90076283,38.898229,38.898432, ,,,,,,,,
51013101602,"Census Tract 1016.02, Arlington County, Virginia",1729,1597,1142,156,256,132,118,0,0,1729,304,151,97981,1799,669,52,37,171,979,926,1729,46,63,37,37,168,1064,0.090225564,0.660497397,0.148062464,0.076344708,0,0.068247542,0,0.166570272,0.388639761,0.945863126,0,0.263157895,0.087333719,list(list(c(-77.086501,-77.084572,-77.082059,-77.08187,-77.081121,-77.080273,-77.083988,-77.085816,-77.08614,-77.086288,-77.086501,38.89587,38.89634,38.896353,38.895172,38.894611,38.893243,38.891737,38.89123,38.893394,38.894634, 38.89587))),,,,,,,,,,,,,,,,,,,,,,
