geoid,name,total_pop,nonlatine,nlwhite,nlblack,nlasian,latine,lwhite,lblack,lasian,tpop_nat,nat_nat,nat_noncit,medhhinc,medrent,total_pctincrent,pctincrent35_to_399,pctincrent40_to_499,pctincrent50_ormore,total_ipop,hh_inet,total_hh_poverty,hh_under_05_poverty,hh_05_to_099_poverty,hh_1_to_124_poverty,hh_125_to_149_poverty,hh_15_to_184_poverty,total_hh,pct_nlblack,pct_nlwhite,pct_nlasian,pct_latine,pct_lblack,pct_lwhite,pct_lasian,pct_185pov,pct_incrent35,pct_inetaccess,comcolorifelsepct_nlwhite0410,pct_nonnat,pct_noncit
51013101402,"Census Tract 1014.02, Arlington County, Virginia",2362,2160,1571,60,437,202,202,0,0,2362,283,208,128796,2308,599,56,42,118,1410,1341,2355,125,55,63,0,41,1511,.0254022015241321,.665114309906859,.185012701100762,.0855207451312447,0,.0855207451312447,0,.09723991507431,.360601001669449,.951063829787234,0,.207874682472481,.0880609652836579
51013101403,"Census Tract 1014.03, Arlington County, Virginia",6002,5551,4223,269,932,451,270,61,0,6002,531,851,115721,2175,2953,142,210,303,3747,3478,5974,142,136,66,49,141,4150,.0448183938687104,.703598800399867,.155281572809064,.0751416194601799,.010163278907031,.0449850049983339,0,.0666220287914295,.221808330511344,.92820923405391,0,.23025658113962,.141786071309563
51013101404,"Census Tract 1014.04, Arlington County, Virginia",5212,4746,3446,179,863,466,447,0,0,5212,499,699,128491,2403,2288,102,231,126,3134,2920,5211,211,200,17,0,241,3407,.0343438219493477,.661166538756715,.165579432079816,.0894090560245587,0,.0857636224098235,0,.0900019190174631,.200611888111888,.931716656030632,0,.229854182655411,.134113584036838
51013101500,"Census Tract 1015, Arlington County, Virginia",7829,7120,5690,370,714,709,646,0,0,7829,897,742,113668,1905,2414,180,144,399,3809,3588,7829,303,144,61,179,133,4102,.0472601864861413,.726785030016605,.091199386894878,.0905607357261464,0,.0825137310001277,0,.0863456380125176,.29950289975145,.9419795221843,0,.209349853110231,.0947758334397752
51013101601,"Census Tract 1016.01, Arlington County, Virginia",1474,1318,1071,12,139,156,96,7,0,1474,103,162,151875,2072,365,16,11,46,655,648,1474,84,49,0,10,10,684,.0081411126187246,.726594301221167,.0943012211668928,.105834464043419,.0047489823609227,.0651289009497965,0,.0705563093622795,.2,.989312977099237,0,.179782903663501,.109905020352782
51013101602,"Census Tract 1016.02, Arlington County, Virginia",1729,1597,1142,156,256,132,118,0,0,1729,304,151,97981,1799,669,52,37,171,979,926,1729,46,63,37,37,168,1064,.0902255639097744,.660497397339503,.148062463851938,.0763447079236553,0,.0682475419317525,0,.16657027183343,.38863976083707,.945863125638407,0,.263157894736842,.0873337189126663
51013101603,"Census Tract 1016.03, Arlington County, Virginia",3939,3642,2581,217,698,297,243,0,0,3939,483,521,125417,2312,1426,71,124,114,2343,2245,3909,282,32,29,21,25,2563,.0550901243970551,.655242447321655,.177202335618177,.0753998476770754,0,.0616907844630617,0,.091327705295472,.216690042075736,.958173282116944,0,.254887027164255,.132267072861132
51013101701,"Census Tract 1017.01, Arlington County, Virginia",4916,4059,3186,300,426,857,450,37,0,4916,326,575,121462,2303,2225,107,211,155,2539,2425,4475,155,196,234,121,79,2723,.0610252237591538,.648087876322213,.0866558177379984,.174328722538649,.007526444263629,.0915378356387307,0,.131620111731844,.212584269662921,.955100433241434,0,.183279088689992,.116965012205045
51013101702,"Census Tract 1017.02, Arlington County, Virginia",5384,4741,3086,185,1182,643,587,0,17,5384,925,1100,95352,1863,2413,178,46,409,3460,3154,5374,247,94,132,14,112,4127,.0343610698365528,.573179791976226,.219539375928678,.1194279346211,0,.109026745913819,.0031575037147103,.0939709713435058,.262329050973891,.911560693641619,0,.37611441307578,.204309063893016
51013101703,"Census Tract 1017.03, Arlington County, Virginia",2291,2148,1658,257,194,143,132,0,0,2291,324,206,104773,1893,881,93,21,168,1406,1353,2291,137,138,70,11,35,1604,.112178088171104,.723701440419031,.084679179397643,.0624181580096028,0,.0576167612396334,0,.110432125709297,.320090805902384,.962304409672831,0,.231340026189437,.0899170667830642
51013101801,"Census Tract 1018.01, Arlington County, Virginia",3664,3396,2556,93,573,268,244,0,0,3664,425,294,158656,2726,1389,64,59,83,1999,1921,3664,83,30,29,0,31,2120,.025382096069869,.697598253275109,.156386462882096,.0731441048034935,0,.0665938864628821,0,.039028384279476,.148308135349172,.960980490245123,0,.196233624454148,.0802401746724891
51013101802,"Census Tract 1018.02, Arlington County, Virginia",6987,5579,4291,414,588,1408,814,64,24,6987,702,826,130242,2275,2930,211,54,315,3614,3552,6987,392,139,214,79,94,3746,.0592528982395878,.614140546729641,.0841562902533276,.201517103191642,.0091598683268928,.116502075282668,.0034349506225848,.111492772291398,.197952218430034,.982844493635861,0,.218691856304566,.11821955059396
51013101803,"Census Tract 1018.03, Arlington County, Virginia",4555,4117,3409,163,387,438,108,41,0,4555,476,658,90282,1693,1644,128,101,173,2339,2179,4555,257,107,58,122,114,2389,.0357848518111965,.74840834248079,.0849615806805708,.0961580680570801,.0090010976948408,.0237102085620198,0,.120965971459934,.244525547445255,.931594698589141,0,.248957189901207,.144456641053787
51013101900,"Census Tract 1019, Arlington County, Virginia",3287,3147,2859,44,127,140,40,0,0,3287,143,227,169167,2136,430,10,0,38,1234,1194,3252,79,79,23,8,33,1251,.013386066321874,.869790082141771,.0386370550654092,.0425920292059629,0,.0121691512017037,0,.0439729397293973,.111627906976744,.9675850891410051,0,.112564648615759,.0690599330696684
51013102001,"Census Tract 1020.01, Arlington County, Virginia",3007,1977,1258,235,349,1030,212,0,11,3007,369,626,84406,1684,1060,53,81,168,1303,988,3007,169,174,20,359,96,1384,.0781509810442301,.41835716661124,.116062520784835,.34253408713003,0,.0705021616228799,.0036581310276023,.214166943797805,.284905660377358,.758250191864927,0,.330894579314932,.208180911207183
