"GEOID","NAME","total_pop","nonlatine","nlwhite","nlblack","nlasian","latine","lwhite","lblack","lasian","tpop_nat","nat_nat","nat_noncit","medhhinc","medrent","total_pctincrent","pctincrent35_to_39.9","pctincrent40_to_49.9","pctincrent50_ormore","total_ipop","hh_inet","total_hh_poverty","hh_under_0.5_poverty","hh_0.5_to_0.99_poverty","hh_1_to_1.24_poverty","hh_1.25_to_1.49_poverty","hh_1.5_to_1.84_poverty","total_hh","pct_nlblack","pct_nlwhite","pct_nlasian","pct_latine","pct_lblack","pct_lwhite","pct_lasian","pct_185pov","pct_incrent35","pct_inetaccess","comcolor <- ifelse(pct_nlwhite < 0.4, 1, 0)","pct_nonnat","pct_noncit"
"51013101701","Census Tract 1017.01, Arlington County, Virginia",4916,4059,3186,300,426,857,450,37,0,4916,326,575,121462,2303,2225,107,211,155,2539,2425,4475,155,196,234,121,79,2723,0.0610252237591538,0.648087876322213,0.0866558177379984,0.174328722538649,0.00752644426362897,0.0915378356387307,0,0.131620111731844,0.212584269662921,0.955100433241434,0,0.183279088689992,0.116965012205045
"51013101702","Census Tract 1017.02, Arlington County, Virginia",5384,4741,3086,185,1182,643,587,0,17,5384,925,1100,95352,1863,2413,178,46,409,3460,3154,5374,247,94,132,14,112,4127,0.0343610698365528,0.573179791976226,0.219539375928678,0.1194279346211,0,0.109026745913819,0.00315750371471025,0.0939709713435058,0.262329050973891,0.911560693641619,0,0.37611441307578,0.204309063893016
"51013101703","Census Tract 1017.03, Arlington County, Virginia",2291,2148,1658,257,194,143,132,0,0,2291,324,206,104773,1893,881,93,21,168,1406,1353,2291,137,138,70,11,35,1604,0.112178088171104,0.723701440419031,0.084679179397643,0.0624181580096028,0,0.0576167612396334,0,0.110432125709297,0.320090805902384,0.962304409672831,0,0.231340026189437,0.0899170667830642
"51013101801","Census Tract 1018.01, Arlington County, Virginia",3664,3396,2556,93,573,268,244,0,0,3664,425,294,158656,2726,1389,64,59,83,1999,1921,3664,83,30,29,0,31,2120,0.025382096069869,0.697598253275109,0.156386462882096,0.0731441048034935,0,0.0665938864628821,0,0.039028384279476,0.148308135349172,0.960980490245123,0,0.196233624454148,0.0802401746724891
"51013101802","Census Tract 1018.02, Arlington County, Virginia",6987,5579,4291,414,588,1408,814,64,24,6987,702,826,130242,2275,2930,211,54,315,3614,3552,6987,392,139,214,79,94,3746,0.0592528982395878,0.614140546729641,0.0841562902533276,0.201517103191642,0.0091598683268928,0.116502075282668,0.0034349506225848,0.111492772291398,0.197952218430034,0.982844493635861,0,0.218691856304566,0.11821955059396
"51013101803","Census Tract 1018.03, Arlington County, Virginia",4555,4117,3409,163,387,438,108,41,0,4555,476,658,90282,1693,1644,128,101,173,2339,2179,4555,257,107,58,122,114,2389,0.0357848518111965,0.74840834248079,0.0849615806805708,0.0961580680570801,0.00900109769484083,0.0237102085620198,0,0.120965971459934,0.244525547445255,0.931594698589141,0,0.248957189901207,0.144456641053787
"51013101900","Census Tract 1019, Arlington County, Virginia",3287,3147,2859,44,127,140,40,0,0,3287,143,227,169167,2136,430,10,0,38,1234,1194,3252,79,79,23,8,33,1251,0.013386066321874,0.869790082141771,0.0386370550654092,0.0425920292059629,0,0.0121691512017037,0,0.0439729397293973,0.111627906976744,0.967585089141005,0,0.112564648615759,0.0690599330696684
"51013102001","Census Tract 1020.01, Arlington County, Virginia",3007,1977,1258,235,349,1030,212,0,11,3007,369,626,84406,1684,1060,53,81,168,1303,988,3007,169,174,20,359,96,1384,0.0781509810442301,0.41835716661124,0.116062520784835,0.34253408713003,0,0.0705021616228799,0.00365813102760226,0.214166943797805,0.284905660377358,0.758250191864927,0,0.330894579314932,0.208180911207183
"51013102002","Census Tract 1020.02, Arlington County, Virginia",1414,1197,836,91,196,217,163,0,0,1414,110,279,82083,1811,518,51,57,82,644,588,1412,68,15,175,57,62,714,0.0643564356435644,0.591230551626591,0.138613861386139,0.153465346534653,0,0.115275813295615,0,0.256373937677054,0.366795366795367,0.91304347826087,0,0.275106082036775,0.197312588401697
"51013102003","Census Tract 1020.03, Arlington County, Virginia",4041,2976,1923,629,345,1065,610,0,0,4041,381,902,37332,1419,2088,60,125,737,2539,1632,4041,373,266,396,328,181,2737,0.155654540955209,0.475872308834447,0.0853749072011878,0.26354862657758,0,0.150952734471665,0,0.316258351893096,0.441570881226054,0.642772745175266,0,0.317495669388765,0.223212076218758
